Time	ExecuteThreadTotalCount	ExecuteThreadIdleCount	QueueLength	PendingUserRequestCount	CompletedRequestCount	HoggingThreadCount	StandbyThreadCount	Throughput	HealthState
2009-03-02 00:00:00	8	3	0	0	702932	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:01:00	8	3	0	0	703187	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:02:00	8	3	0	0	703440	0	5	4.477611940298507	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:03:00	8	3	0	0	703691	0	5	3.482587064676617	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:04:01	8	3	0	0	703944	0	5	4.975124378109452	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:05:01	8	3	0	0	704198	0	5	5.472636815920398	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:06:01	8	3	0	0	704452	0	5	5.472636815920398	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:07:01	8	3	0	0	704703	0	5	4.477611940298507	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:08:01	8	3	0	0	704956	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:09:02	8	3	0	0	705207	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:10:02	8	3	0	0	705460	0	5	3.482587064676617	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:11:02	8	3	0	0	705714	0	5	2.487562189054726	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:12:02	8	3	0	0	705966	0	5	1.492537313432836	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:13:02	8	3	0	0	706217	0	5	1.492537313432836	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:14:00	8	3	0	0	706464	0	5	3.482587064676617	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:15:00	8	3	0	0	706717	0	5	4.477611940298507	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:16:00	8	3	0	0	706972	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:17:00	8	3	0	0	707224	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:18:00	8	3	0	0	707478	0	5	4.477611940298507	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:19:01	8	3	0	0	707729	0	5	5.970149253731344	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:20:01	8	3	0	0	707986	0	5	5.970149253731344	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:21:01	8	3	0	0	708241	0	5	4.975124378109452	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:22:01	8	3	0	0	708493	0	5	4.477611940298507	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:23:01	8	3	0	0	708745	0	5	4.477611940298507	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:24:02	8	3	0	0	708997	0	5	3.482587064676617	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:25:02	8	3	0	0	709249	0	5	2.985074626865672	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:26:02	8	3	0	0	709504	0	5	5.970149253731344	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:27:02	8	3	0	0	709755	0	5	4.477611940298507	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:28:02	8	3	0	0	710007	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:29:00	8	3	0	0	710252	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:30:00	8	3	0	0	710514	0	5	2.985074626865672	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:31:00	8	3	0	0	710768	0	5	4.975124378109452	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:32:00	8	3	0	0	711021	0	5	4.975124378109452	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:33:00	8	3	0	0	711272	0	5	5.970149253731344	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:34:01	8	3	0	0	711524	0	5	4.975124378109452	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:35:01	8	3	0	0	711776	0	5	4.477611940298507	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:36:01	8	3	0	0	712032	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:37:01	8	3	0	0	712283	0	5	3.482587064676617	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:38:01	8	3	0	0	712536	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:39:02	8	3	0	0	712787	0	5	5.472636815920398	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:40:02	8	3	0	0	713040	0	5	5.970149253731344	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:41:02	8	3	0	0	713295	0	5	4.975124378109452	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:42:02	8	3	0	0	713547	0	5	4.477611940298507	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:43:02	8	3	0	0	713798	0	5	4.975124378109452	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:44:00	8	3	0	0	714042	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:45:00	8	3	0	0	714293	0	5	3.9800995024875623	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:46:00	8	3	0	0	714550	0	5	3.482587064676617	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:47:00	8	3	0	0	714802	0	5	2.985074626865672	State:HEALTH_OK,ReasonCode:[]
2009-03-02 00:48:00	8	3	0	0	715054	0	5	4.477611940298507	State:HEALTH_OK,ReasonCode:[]
